Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
ATG_Ets_CIS_up,ATG,ETS1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_FoxA2_CIS_dn,ATG,FOXA2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_FoxA2_CIS_up,ATG,FOXA2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_FoxO_CIS_dn,ATG,FOXO1|FOXO3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_FoxO_CIS_up,ATG,FOXO1|FOXO3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_FXR_TRANS_dn,ATG,NR1H4,liver,HepG2,none,,,,,,,,,,,,,,
ATG_FXR_TRANS_up,ATG,NR1H4,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GAL4_TRANS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GAL4_TRANS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GATA_CIS_dn,ATG,GATA1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GATA_CIS_up,ATG,GATA1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GCNF_TRANS2_dn,ATG,NR6A1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GCNF_TRANS2_up,ATG,NR6A1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GLI_CIS_dn,ATG,GLI1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GLI_CIS_up,ATG,GLI1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_ADORA2A_TRANS_dn,ATG,ADORA2A,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_ADORA2A_TRANS_up,ATG,ADORA2A,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_ADORA2B_TRANS_dn,ATG,ADORA2B,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_ADORA2B_TRANS_up,ATG,ADORA2B,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_ADRA1A_TRANS_dn,ATG,ADRA1A,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_ADRA1A_TRANS_up,ATG,ADRA1A,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_ADRA2B_TRANS_dn,ATG,ADRA2B,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_ADRA2B_TRANS_up,ATG,ADRA2B,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_ADRB2_TRANS_dn,ATG,ADRB2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_ADRB2_TRANS_up,ATG,ADRB2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_ADRB3_TRANS_dn,ATG,ADRB3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_ADRB3_TRANS_up,ATG,ADRB3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_CHRM3_TRANS_dn,ATG,CHRM3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_CHRM3_TRANS_up,ATG,CHRM3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_DRD1_TRANS_dn,ATG,DRD1|DRD1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_DRD1_TRANS_up,ATG,DRD1|DRD1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_DRD5_TRANS_dn,ATG,DRD5,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_DRD5_TRANS_up,ATG,DRD5,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_EDNRA_TRANS_dn,ATG,EDNRA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_EDNRA_TRANS_up,ATG,EDNRA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_GCGR_TRANS_dn,ATG,GCGR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_GCGR_TRANS_up,ATG,GCGR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_GPBAR1_TRANS_dn,ATG,GPBAR1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_GPBAR1_TRANS_up,ATG,GPBAR1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_GPR40_TRANS_dn,ATG,FFAR1,liver,HepG2,none,,,,,,,,,,,,,,
